name,volume,wall_thickness,manifold,positive_volume,no_intersections,thick_walls
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Bed_Leveling_Tool/Test_Main_Slider_Profile.stl,,0.02951484480280477,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Bed_Leveling_Calibration_Test_Object_(Parametric)/Bed_Levelling.stl,,0.05056178334514218,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Print_Bed_Scraper/Scraper.stl,,,True,True,False,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Sponge_Bed_with_Pillows/Bed_Frame.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Bed_levelling_squares_(200x200mm)/20x20.stl,,0.10009838703542119,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Bed_Level_Test/Bed_Level_Test.stl,,0.10049398237334384,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Anet_A8_Rpi_camera_Bed_mount/Rpi_camera_bed_mount_for_anet_a8_v3.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Anet_A8_Rpi_camera_Bed_mount/caseBack.stl,,0.17344687656347274,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/_bunk_bed_for_doll/lozko_pietrowe_barbie.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Anet_A8_Bed_Level_Upgrade/Bed_Level_Kit.stl,,,True,True,False,True
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Ender3_Perfect_Bed_Leveling/BosZx_Bed_Level_Eco.stl,,0.1013494785495856,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/Ender3_Perfect_Bed_Leveling/BosZx_Bed_Level_Full.stl,,0.10019370115499904,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/beds/stls/GH_Scaler_Trailer_-_Utility_Bed/GHST_UB_FrameLeft.stl,,0.03371171106867602,True,True,True,False
